Symbols_of_Separating  {'('}                                   |  Hash Index = 40
Symbols_of_Separating  {')'}                                   |  Hash Index = 41
Symbols_of_Operation   {'+'}                                   |  Hash Index = 43
Symbols_of_Separating  {','}                                   |  Hash Index = 44
Symbols_of_Operation   {'-'}                                   |  Hash Index = 45
int_num                {'1'}                                   |  Hash Index = 49
int_num                {'5'}                                   |  Hash Index = 53
int_num                {'6'}                                   |  Hash Index = 54
Symbols_of_Operation   {'='}                                   |  Hash Index = 61
Id                     {'A'}                                   |  Hash Index = 65
Id                     {'F'}                                   |  Hash Index = 70
WordsKey               {'PROGRAM'}                             |  Hash Index = 76
Id                     {'a'}                                   |  Hash Index = 97
Id                     {'c'}                                   |  Hash Index = 99
Id                     {'d'}                                   |  Hash Index = 100
Id                     {'f'}                                   |  Hash Index = 102
Id                     {'g'}                                   |  Hash Index = 103
Error                  {'REAL5'}                               |  Hash Index = 175
WordsKey               {'REAL'}                                |  Hash Index = 262
WordsKey               {'INTEGER'}                             |  Hash Index = 286
real_num               {'7.999999'}                            |  Hash Index = 423
WordsKey               {'END'}                                 |  Hash Index = 795
WordsKey               {'CALL'}                                |  Hash Index = 894
